INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by region,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.5,660-1.5,,,Total,,,Thousands,1/,TF,38.599999999999994,37.4,43.160000000000004,43.800000000000004,46.75000000000001,43.7,47.900000000000006,43.98,46.89999999999999,54,62.1,72.9,77.69999999999999,68.2,57.86,61.9,65.75,64.7,69,71,73.2,79.20000000000002,68.2,54.5,95.4,25.400000000000002,28.400000000000002,74,1/ Excluding nationals residing abroad.
660,1.6,660-1.6,,,,Africa,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,1.7,660-1.7,,,,Americas,,Thousands,,,35.3,33.7,36.6,32.5,33.45,33.1,38.7,37.48,39.3,44.8,52.1,61.7,63.8,57,49,53.1,56.6,55.3,59.5,60.6,63.1,67.4,57.1,45.8,80.8,21.2,25.2,63.7,
660,1.8,660-1.8,,,,East Asia and the Pacific,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,1.9,660-1.9,,,,Europe,,Thousands,,,2.4,2.9,5.46,10.1,11.7,9.4,8,5.4,6.3,7.7,8.1,9.2,10.8,8.9,7.46,7.5,7.5,7.2,7.4,8,7.9,8.9,8.4,6.2,10.7,3.1,2.1,8,
660,1.10,660-1.10,,,,Middle East,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,1.11,660-1.11,,,,South Asia,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,1.12,660-1.12,,,,Other not classified,,Thousands,,,0.9,0.8,1.1,1.2,1.6,1.2,1.2,1.1,1.3,1.5,1.9,2,3.1,2.3,1.4,1.3,1.65,2.2,2.1,2.4,2.2,2.9,2.7,2.5,3.9,1.1,1.1,2.3,
660,1.13,660-1.13,,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.5,28-1.5,,,Total,,,Thousands,1/,TF,212,220,232,226,208,206,193,198,225,245,245,254,262,266,234.20000000000002,229.9,241.20000000000002,247.00000000000003,242.8,249,250.1,265.20000000000005,247.39999999999995,268.90000000000003,301.1,125,169.4,265.1,1/ Arrivals by air. Excluding nationals residing abroad.
28,1.6,28-1.6,,,,Africa,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,0.5,0.6,0.6,0.1,0.4,1,
28,1.7,28-1.7,,,,Americas,,Thousands,,,124,128,138,134,115,107,107,108,122,129,128,139,141,152,138.5,138.5,146.6,154.3,152,155,151,165.9,153.2,176.3,197.8,84.8,115.3,171.6,
