INDEX,Unnamed: 1,Unnamed: 2,2. DOMESTIC TOURISM: Accommodation,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
32,2.21,32-2.21,,,,Guests,,Thousands,2/,..,..,..,..,..,..,..,..,..,..,11813,..,15088,14674,13588,14530,15248,15384,14993,15078,15708,15523,16763,16330,16289,4669,10389,16604,
32,2.22,32-2.22,,,,Overnights,,Thousands,2/,..,..,..,..,..,..,..,..,..,..,28569,32965,35608,34278,31043,34447,35992,36611,35368,36096,37569,37006,38521,38572,38239,13313,26314,42041,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.19,51-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,2.20,51-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,468,726,975,1200,1350,1540,2583,3129,3924,5875,5868,6180,8034,10320,10462,11760,13044,13104,18540,..,19152,19263,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.21,51-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,2.22,51-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,308,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,2.19,533-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,2.20,533-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,2.21,533-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,2.22,533-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding private accommodation.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.19,36-2.19,,,,Guests,,Thousands,,..,..,..,..,31628,30612,31318,32142,31521,32527,31020,31863,33944,32806,31155,32347,33229,33258,33937,37067,38505,39336,42752,44390,48492,25177,30856,47026,
36,2.20,36-2.20,,,,Overnights,,Thousands,,..,..,..,..,105524,100247,102638,103484,106488,107223,103003,106750,114249,107749,103354,105526,106579,104429,104247,116368,118048,123368,127202,135128,146174,82037,103021,151855,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.21,36-2.21,,,,Guests,,Thousands,,..,..,..,..,25687,24999,25747,26005,25926,26964,26196,26685,28271,27387,25667,26628,27513,27421,27896,29635,31072,31837,35251,36591,40088,19102,23403,37727,
36,2.22,36-2.22,,,,Overnights,,Thousands,,..,..,..,..,73514,71297,74146,73791,75845,78959,77278,77373,83008,78858,73339,74840,77112,74115,74742,82466,83993,87120,91877,99596,105157,54489,69470,110503,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Only paid accommodation; excluding stays at friends and relatives and second homes.
2/ Hotels only."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.19,40-2.19,,,,Guests,,Thousands,1/,7002,7006,7219,7594,7990,8396,8714,8749,9056,9092,9385,9874,10367,10681,10961,11385,11617,12013,12034,12265,12697,13343,13619,14033,14312,9939,9416,13580,
40,2.20,40-2.20,,,,Overnights,,Thousands,1/,30123,28719,28513,29290,30309,31153,31442,31013,31619,31329,31501,32130,33008,33879,34443,35024,35297,35964,35755,35668,36425,38014,38523,39390,39944,31596,29599,38881,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.21,40-2.21,,,,Guests,,Thousands,2/,4761,4856,5033,5301,5620,5956,6262,6286,6437,6600,6896,7400,7875,8119,8323,8804,8966,9310,9366,9574,9862,10331,10576,10912,11144,7236,7042,10505,
40,2.22,40-2.22,,,,Overnights,,Thousands,2/,16302,15892,16088,16491,17241,18031,18468,18356,18667,18850,19383,20278,21285,21902,22273,23029,23180,23762,23635,23482,23941,24841,24971,25559,25892,19243,18166,25111,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.19,31-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
31,2.20,31-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108552,117144,24261,54443,67304,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.21,31-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,44,56,69,114,134,141,152,207,215,226,252,253,271,280,342,345,433,515,603,401,901,789,
31,2.22,31-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,51,117,152,415,525,558,558,724,754,790,831,838,853,885,685,719,886,953,1104,583,1374,1253,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.19,44-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
44,2.20,44-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.21,44-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
44,2.22,44-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.19,48-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76,67,117,138,134,187,..,
48,2.20,48-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103,91,145,171,345,561,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.21,48-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55,48,86,100,..,..,..,
48,2.22,48-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103,91,145,171,..,..,..,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.19,50-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,2.20,50-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.21,50-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,2.22,50-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.19,52-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,2.20,52-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.21,52-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,2.22,52-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2.19,112-2.19,,,,Guests,,Thousands,,..,..,..,..,1428,1717,1742,1505,1646,1686,1702,1722,1751,1734,1636,1666,1768,1898,1907,2332,2226,2292,2442,2629,2717,2215,2894,2888,
112,2.20,112-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10067,10383,10602,11612,11146,10946,11350,12477,11910,10562,12746,12786,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2.21,112-2.21,,,,Guests,,Thousands,,..,..,..,1070,1194,1187,1109,862,989,1030,1084,1171,1184,1174,1098,1127,1144,1097,1065,998,918,885,888,970,965,751,1073,1101,
112,2.22,112-2.22,,,,Overnights,,Thousands,,..,..,..,2976,3322,3375,3151,2483,2749,2926,3306,3649,3739,3624,3275,3172,3071,2902,2906,2707,2291,2090,2016,2140,2182,1891,2386,2379,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Due to a change in the methodology, from 2015 the data are not comparable with those of previous years.
2/ Hotels only."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.19,56-2.19,,,,Guests,,Thousands,1/,3285,3873,3945,3900,4047,4267,4355,4333,4382,4448,4572,4806,5068,5265,5431,5802,6124,6313,6468,6754,7492,7729,7934,8441,8714,4792,7729,9406,
56,2.20,56-2.20,,,,Overnights,,Thousands,1/,14133,14288,13760,13185,13111,13689,13321,13177,13089,12950,12827,13332,13578,13611,13803,14128,14656,14835,14936,15537,19528,19792,20020,20756,21308,13631,21370,23646,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.21,56-2.21,,,,Guests,,Thousands,2/,1114,1543,1647,1740,1862,2048,2093,2103,2119,2208,2364,2596,2877,3081,3218,3601,3883,3806,3947,4175,4304,4326,4492,4801,4954,2538,3996,5077,
56,2.22,56-2.22,,,,Overnights,,Thousands,2/,3054,3140,3366,3498,3652,4045,4057,4091,4061,4090,4313,4737,5220,5422,5606,6169,6529,6328,6525,6926,7048,6968,7313,7858,8126,4243,6559,8421,
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2.19,84-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,2.20,84-2.20,,,,Overnights,,Thousands,,65,55,58,53,57,61,56,80,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2.21,84-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,2.22,84-2.22,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2.19,204-2.19,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,2.20,204-2.20,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,138,150,158,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2.21,204-2.21,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,2.22,204-2.22,,,,Overnights,,Thousands,,..,..,..,..,33,23,20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
