INDEX,Unnamed: 1,Unnamed: 2,3. OUTBOUND TOURISM: Tourism expenditure in other countries,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
804,3.6,804-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,97,157,147,96,91,110,137,164,197,273,368,453,562,421,392,368,432,537,409,307,336,415,388,390,132,192,71,
784,0,784-0,UNITED ARAB EMIRATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,3.4,784-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,CB,..,..,..,..,..,3019,3321,3651,3956,4472,6186,8827,11273,13288,10347,11818,13206,15072,16188,15848,16637.100000000002,17127.26,17644.7,18004.1,18382,15085,21600,..,"Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities.
1/ Source: Central Bank of the U.A.E."
784,3.5,784-3.5,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12678.4,13309.7,13701.8,14115.7,14403.3,14706,12068,17280,..,
784,3.6,784-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3169.6,3327.4,3425.46,3529,3600.8,3676,3017,4320,..,
826,0,826-0,UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,3.4,826-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,30749,32298,35954,41458,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
826,3.5,826-3.5,,,Travel,,,US$ Millions,,IMF,24926,25962,28529,33452,41835,42132,42220,47082,53983,62933,66250,69001,79413,78056,63334,65682,68456,69049,70831,79293,77510,75105,76968,85076,85948,24500,29953,81671,
826,3.6,826-3.6,,,Passenger transport,,,US$ Millions,,IMF,5823,6336,7425,8006,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
840,0,840-0,UNITED STATES OF AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,3.4,840-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,61042,65477,71948,78423,77260,85490,82185,79362,81708,93343,98694,105403,112928,119135,115123,123831,130606,138167,132322,140228,144669,147640,158287,176396,184786,47074,74546,161939,
840,3.5,840-3.5,,,Travel,,,US$ Millions,,IMF,46379,49672,53808,58451,58864,64174,60525,59017,61244,70332,74111,78374,82605,84318,82510,85165,86623,90340,91117,96248,102666,109156,117929,125718,131992,33703,56698,115311,
840,3.6,840-3.6,,,Passenger transport,,,US$ Millions,,IMF,14663,15805,18140,19972,18396,21316,21660,20345,20464,23011,24583,27029,30323,34817,32613,38666,43983,47827,41205,43980,42003,38484,40358,50678,52794,13371,17848,46628,
850,0,850-0,UNITED STATES VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,3.4,850-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
850,3.5,850-3.5,,,Travel,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
850,3.6,850-3.6,,,Passenger transport,,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
858,0,858-0,URUGUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
