INDEX,Unnamed: 1,Unnamed: 2,3. OUTBOUND TOURISM: Tourism expenditure in other countries,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
660,3.6,660-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.1,2,2.2,2.4,1.7,1.9,0.5,0.2,1,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3.4,28-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,95,101,106,112,125,47,54,64,
28,3.5,28-3.5,,,Travel,,,US$ Millions,,IMF,23,26,27,29,30,31,32,33,35,38,40,45,52,58,54,51,49,49,50,66,70,77,82,87,101,40,43,50,
28,3.6,28-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,25,24,24,25,24,7,11,14,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3.4,32-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,4013,4449,4973,5282,5228,5460,4888,2744,2997,3208,3554,4047,5077,5987,5808,6448,7602,8466,8421,7837,9348,12273,14180,13084,9845,3296,1867,7410,"1/  Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
32,3.5,32-3.5,,,Travel,,,US$ Millions,1/,IMF,3278,3584,3962,4230,4195,4425,3893,2328,2511,2604,2790,3108,3935,4586,4536,4951,5667,6117,5932,5983,6982,9679,11378,10670,7850,2890,1357,5566,
32,3.6,32-3.6,,,Passenger transport,,,US$ Millions,,IMF,735,865,1011,1052,1033,1035,995,416,486,604,764,939,1142,1401,1272,1497,1935,2349,2489,1854,2366,2594,2802,2414,1995,406,510,1844,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3.4,51-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,12,26,45,55,51,56,59,85,97,199,255,300,430,494,496,641,756,874,1007,1101,1057,1033,1218,1335,1543,301,514,1377.6,
51,3.5,51-3.5,,,Travel,,,US$ Millions,,IMF,3,22,41,41,37,40,40,54,67,162,207,265,379,435,443,579,687,803,930,1024,996,981,1163,1282,1489,278,466,1296.6,
51,3.6,51-3.6,,,Passenger transport,,,US$ Millions,,IMF,9,4,4,14,14,16,19,31,30,37,48,35,51,59,53,62,69,71,77,77,61,52,55,53,54,23,48,81,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,3.4,533-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,79,128,161,140,151,163,156,172,213,248,250,241,270,272,264,261,287,294,342,350,357,319,349,394,399,285,339,392.79999999999995,
533,3.5,533-3.5,,,Travel,,,US$ Millions,,IMF,73,120,156,135,140,146,135,159,188,218,226,218,251,250,243,243,269,275,320,329,342,319,349,381,389,281,333,384.4,
533,3.6,533-3.6,,,Passenger transport,,,US$ Millions,,IMF,6,8,5,5,11,17,21,13,25,30,24,23,19,22,21,18,18,19,22,21,15,..,..,13,10,4,6,8.4,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.4,36-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,7605,8545,8880,8307,8798,9065,8184,8640,10434,14702,16153,17293,22052,25557,22680,27851,33967,35226,40732,38827,34071,35718,39092.6,42864,40089,7754,1995,20227,
36,3.5,36-3.5,,,Travel,,,US$ Millions,,IMF,5165,5920,6261,5930,6181,6388,5735,5963,7337,10667,11749,12537,16454,19617,18738,22558,27371,28078,34110,33284,29190,30839,33852.4,37379,34712,6583,1170,16087,
36,3.6,36-3.6,,,Passenger transport,,,US$ Millions,,IMF,2440,2625,2619,2377,2617,2677,2449,2677,3097,4035,4404,4756,5598,5940,3942,5293,6596,7148,6622,5543,4881,4879,5240.2,5485,5377,1171,825,4140,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.4,40-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,11686,11777,10672,10399,7517,7001,7408,7743,9761,10812,11077,..,..,..,..,..,..,..,..,..,11337,11634,12878,14110,13991,5157,8245,11466,
40,3.5,40-3.5,,,Travel,,,US$ Millions,,IMF,10887,11015,10062,9581,6727,6232,6579,6901,8623,9237,9316,9628,10559,11438,10826,10120,10556,9987,10253,11095,9329,9772,10768,11793,11589,4484,7351,11466,
40,3.6,40-3.6,,,Passenger transport,,,US$ Millions,,IMF,799,762,610,818,790,769,829,842,1138,1575,1761,..,..,..,..,..,..,..,..,..,2008,1862,2110,2317,2402,673,894,..,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3.4,31-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,165,115,193,181,149,138,119,110,120,140,188,256,381,456,488,856,1778,2617,3032,3163,2743,2593,2803,2453,1839,439,655,1062.3,
31,3.5,31-3.5,,,Travel,,,US$ Millions,,IMF,146,100,186,170,139,132,109,105,111,126,164,201,264,343,406,782,1689,2477,2877,3008,2603,2494,2658,2284,1702,412,562,892.7,
31,3.6,31-3.6,,,Passenger transport,,,US$ Millions,,IMF,19,15,7,11,10,6,10,5,9,14,24,55,117,113,82,74,89,140,155,155,140,99,145,169,137,27,93,169.6,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3.4,44-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,241,279,310,310,310,348,342,338,404,469,528,541,538,460,386,369,347,384,362,328,347,440,554,519,514,167,253,331,
44,3.5,44-3.5,,,Travel,,,US$ Millions,,IMF,213,235,250,256,276,261,256,244,305,316,344,385,377,305,240,228,246,286,262,212,238,329,371,332,335,110,149,170,
44,3.6,44-3.6,,,Passenger transport,,,US$ Millions,,IMF,28,44,60,54,34,87,86,94,99,153,184,156,161,155,146,141,101,98,100,116,109,111,183,187,179,57,104,161,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3.4,48-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,IMF,320,298,318,327,395,425,423,550,492,528,574,639,671,704,597,684,899,975,1001,758,4939,3267,3178,2522,2637,844,..,..,"1/ From 2015 the expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
48,3.5,48-3.5,,,Travel,,,US$ Millions,1/,IMF,122,109,122,142,212,224,250,380,372,387,414,455,479,503,408,506,718,814,839,611,4342,2383,2300,1659,1720,485,..,..,
48,3.6,48-3.6,,,Passenger transport,,,US$ Millions,1/,IMF,198,189,196,185,183,201,173,170,120,141,160,184,192,201,189,178,181,161,162,147,597,884,878,863,917,359,..,..,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3.4,50-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,251,314,294,375,471,341,309,389,442,371,481,530,735,651,835,819,889,1308,782,827,843,1127,1207,1389,618,891.3,1889.1000000000001,
50,3.5,50-3.5,,,Travel,,,US$ Millions,,IMF,234,135,178,151,211,290,165,113,165,161,141,142,156,184,249,261,332,304,350,400,427,484,603,755,920,394,628.8,1326.4,
50,3.6,50-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,116,136,143,164,181,176,196,224,281,230,339,374,551,402,574,487,585,958,382,400,359,524,452,469,224,262.5,562.7,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3.4,52-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,110,114,120,126,132,141,149,146,153,163,158,166,177,154,128,145,114,100,102,115,119,99,51.2,..,..,..,..,..,
52,3.5,52-3.5,,,Travel,,,US$ Millions,,IMF,71,74,79,82,87,94,101,99,104,108,101,104,99,80,71,71,71,58,59,49,56,53,51.2,..,..,..,..,..,
52,3.6,52-3.6,,,Passenger transport,,,US$ Millions,,IMF,39,40,41,44,45,47,48,47,49,55,57,62,78,74,57,74,43,42,43,66,63,46,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,3.4,112-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,101,142,122,138,133,247,486,527,436,500,516,675,724,860,752,748,729,948,1333,1308,997,891,1082,1170,1224.5,511,644,..,
112,3.5,112-3.5,,,Travel,,,US$ Millions,,IMF,87,119,114,124,116,216,454,493,399,450,448,586,606,716,639,622,588,789,1153,1159,901,800,983,1069,1122.5,469,562,..,
112,3.6,112-3.6,,,Passenger transport,,,US$ Millions,,IMF,14,23,8,14,17,31,32,34,37,50,68,89,118,144,113,126,141,159,180,149,96,91,99,101,102,42,82,..,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3.4,56-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,10878,11270,13402,15456,16771,17891,19211,..,20813,20884,22836,22357,24507,26444,15856,16522,17835,20789,20924,13881,15522,17705.3,1/ 1995-2000: country data.
56,3.5,56-3.5,,,Travel,,,US$ Millions,1/,IMF,8115,8591,7895,8311,9775,9429,9776,10185,12210,13956,14948,15574,17502,19523,19001,18862,20672,20166,22157,23820,13654,14439,15600,18442,18667,12965,14624,16207.6,
56,3.6,56-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,1102,1085,1192,1500,1823,2317,1709,..,1812,2022,2164,2191,2350,2624,2202,2083,2235,2347,2257,916,898,1497.7,
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3.4,84-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,33,38,30,33,39,44,45,48,50,47,45,43,46,44,43,39,37,39,42,51,50,55,53,50,45.4,22.04,39.6,62,
84,3.5,84-3.5,,,Travel,,,US$ Millions,,IMF,21,26,18,21,36,40,42,44,46,43,42,41,43,41,41,36,34,37,40,49,47,53,51,48,43.4,20.55,38.2,60.4,
84,3.6,84-3.6,,,Passenger transport,,,US$ Millions,,IMF,12,12,12,12,3,4,3,4,4,4,3,2,3,3,2,3,3,2,2,2,3,2,2,2,2,1.49,1.4,1.6,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,3.4,204-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,48,51,34,32,63,50,48,49,53,59,58,71,107,102,88,91,81,96,39.5,54.2,141,87,148,76,130,79,97.35,..,
204,3.5,204-3.5,,,Travel,,,US$ Millions,,IMF,35,29,16,20,26,12,17,20,21,29,27,34,72,64,53,57,53,43,39,54,62,64,50,31,94,77,77.45,..,
204,3.6,204-3.6,,,Passenger transport,,,US$ Millions,,IMF,13,22,18,12,37,38,31,29,32,30,31,37,35,38,35,34,28,53,0.5,0.2,79,23,98,45,36,2,19.9,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.4,60-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,394,453,459,407,417,326,327,322,378,363,373,369,334,342,212,233.1,..,1/ 2002-2005: country data.
60,3.5,60-3.5,,,Travel,,,US$ Millions,1/,IMF,..,..,..,..,..,..,..,243,248,217,239,268,288,307,295,301,216,221,222,264,244,249,255,254,264,191,201.6,..,
60,3.6,60-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,126,165,152,112,116,110,106,100,114,119,124,114,80,78,21,31.5,..,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.4,64-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,65,34,43,58,69,67,42.6,44,52,63,79,67,50,18.2,38.8,
