INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by main purpose,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.14,31-1.14,,,Total,,,Thousands,,VF,93,210,306,483,602,681,767,834,1038,1280,1177,1194,1333,1899,1830,1963,2239,2484,2509,2297.8,2006.2,2248.8,2696.7,2849.6,3170.3999999999996,795.7,791.8,1602.3000000000002,
31,1.15,31-1.15,,,,Personal,,Thousands,,,58,43,96,45,64,75,49,59,103,150,890,910,1028,1505,1450,1415,1647,1889,1860,1627.4,1373.9,1557.1,1862.3,2062.2,2319.8999999999996,618.2,595.1,1201.8000000000002,
31,1.18,31-1.18,,,,Business and professional,,Thousands,,,35,167,210,438,538,606,718,775,935,1130,287,284,305,394,380,548,592,595,649,670.4,632.3,691.7,834.4,787.4,850.5,177.5,196.7,400.5,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.14,44-1.14,,,Total,,,Thousands,,TF,1598,1633,1618,1528,1577,1544,1538,1513,1505.3,1560.6999999999998,1625.1,1613.1999999999998,1537.8999999999999,1468.6,1335.9999999999998,1378.3999999999999,1355,1431,1377.2,1443.5,1496.3,1498.7,1452,1632.6,1806.8999999999999,440.6,892.4,1452.3999999999999,
44,1.15,44-1.15,,,,Personal,,Thousands,,,1477,1486,1440,1380,1403,1364,1376,1357,1361.5,1415.6999999999998,1474.1,1486.6,1396.3,1343,1244.6999999999998,1303.3999999999999,1261.6,1330.8,1278.1000000000001,1353.7,1389.7,1391.8,1365.1,1530.8,1695.6,402.3,861.1,1368.3999999999999,
44,1.18,44-1.18,,,,Business and professional,,Thousands,,,121,147,178,148,174,180,162,156,143.8,145,151,126.6,141.6,125.6,91.3,75,93.4,100.2,99.1,89.8,106.6,106.9,86.9,101.8,111.3,38.3,31.3,84,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2015, break in the series. Source: Inbound tourism survey. Excluding nationals residing abroad."
48,1.14,48-1.14,,,Total,,,Thousands,1/,VF,1395,1988,2600,2897,3280,3869,4388,4831,4844,5667,6314,7289,7833,8631,..,..,6732,..,..,..,9669.5,10158,11374,12044.7,11061.2,1909,3612,9948.6,
48,1.15,48-1.15,,,,Personal,,Thousands,,,1273,1813,2443,2744,3090,3610,4058,4412,4302,5020,5687,6421,6788,7362,..,..,6082,..,..,..,7275.5,8632,10697,11220.5,10166,1770.5,3413.6,9551.2,
48,1.18,48-1.18,,,,Business and professional,,Thousands,,,122,175,157,153,190,259,330,419,542,647,627,868,1045,1269,..,..,650,..,..,..,2394,1526,677,824.2,895.2,138.5,198.4,397.4,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
