INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by mode of transport,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.19,51-1.19,,,Total,,,Thousands,,TF,12,13,23,32,41,45,124,162,206,262,318,381,511,558,575,683,758,963,1084,1204,1192.1,1259.6999999999998,1494.8000000000002,1651.8,1894,375.20000000000005,870.4000000000001,1665.6999999999998,
51,1.20,51-1.20,,,,Air,,Thousands,,,11,12,20,29,36,39,107,135,173,196,225,270,344,371,382,460,503,564,618,701,693.1,740.3,765.6,806,980,198.8,648.7,1054.3,
51,1.21,51-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,1.22,51-1.22,,,,Land,,Thousands,,,1,1,3,3,5,6,17,27,33,66,93,111,167,187,193,223,255,399,466,503,499,519.4,729.2,845.8,914,176.4,221.70000000000002,611.4,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Cruise passengers only.
533,1.19,533-1.19,,,Total,,,Thousands,,VF,912,957,947,906,972,1211,1178,1225,1184,1304,1286,1285,1254,1383,1420,1394,1469,1481,1667,1739,1832,1758,1862.9,1897,1950.9,623.7,942.6,1711.4740000000002,
533,1.20,533-1.20,,,,Air,,Thousands,,,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,1072,1225,1102,1070.5,1082,1118.9,368.3,806.6,1101,
533,1.21,533-1.21,,,,Water,,Thousands,1/,,293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792.4,815,832,255.4,136,610.474,
533,1.22,533-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,1/,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad and crew members.
36,1.19,36-1.19,,,Total,,,Thousands,,,3726,4164,4318,4167,4460,4931,4856,4841,4746,5215,5499,5533,5645,5585,5490,5790,5771,6033,6481.7,6921.7,7449.2,8268.9,8815.300000000001,9245.599999999999,9465.9,1827.6999999999998,246.2,3694.4,
36,1.20,36-1.20,,,,Air,,Thousands,,,3712,4149,4305,4146,4427,4904,4832,4819,4730,5201,5486,5514,5619,5558,5464,5772,5760,6017,6385.5,6864.5,7387.2,8209.1,8743.1,9167.3,9387.4,1788.6,246,3675.3,
36,1.21,36-1.21,,,,Water,,Thousands,,,14,15,13,21,33,27,24,22,16,14,13,19,26,27,26,18,11,16,96.2,57.2,62,59.8,72.2,78.3,78.5,39.1,0.2,19.1,
36,1.22,36-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
