INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Tourism expenditure in the country,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
40,1.33,40-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,14529,13980,12275,12694,12358,11382,11511,12334,15128,17251,18471,..,..,..,..,..,..,..,..,..,20422,20965,22424,25413,25932,15194,11411,19175,
40,1.34,40-1.34,,,Travel,,,US$ Millions,,IMF,13435,12830,11018,11241,10847,9899,9948,10803,13307,15150,16243,16512,18557,21630,19168,18751,19791,18931,20221,20913,18292,19244,20333,23233,22983,13706,9841,19175,
40,1.35,40-1.35,,,Passenger transport,,,US$ Millions,,IMF,1094,1150,1257,1453,1511,1483,1563,1531,1821,2101,2228,..,..,..,..,..,..,..,..,..,2130,1721,2091,2180,2949,1488,1570,..,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.33,31-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,87,57,176,143,93,68,57,63,70,79,100,201,317,382,545,792,1500,2634,2618,2713,2535,2855,3214,2830,2004.1,340,368,942.1999999999999,
31,1.34,31-1.34,,,Travel,,,US$ Millions,,IMF,70,46,162,125,81,63,43,51,58,65,78,117,178,191,379,657,1287,2433,2365,2432,2309,2714,3012,2634,1791.5,304,313,823.3,
31,1.35,31-1.35,,,Passenger transport,,,US$ Millions,,IMF,17,11,14,18,12,5,14,12,12,14,22,84,139,191,166,135,213,201,253,281,226,141,202,196,212.6,36,55,118.9,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.33,44-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,1356,1409,1427,1365,1598,1753,1665,1773,1770,1897,2081,2066,2198,2155,2025,2159,2157,2333,2305,2336,2554,3091,2951,3756,4150,972,2334,3524,
44,1.34,44-1.34,,,Travel,,,US$ Millions,,IMF,1346,1398,1416,1354,1583,1738,1648,1760,1757,1884,2071,2056,2187,2144,2014,2147,2142,2311,2285,2316,2537,3074,2930,3728,4125,967,2322,3515,
